,type,geometry,properties
0,Feature,"{'type': 'Point', 'coordinates': [-116.90586993496, 33.756957897091]}","{'id': '64375c201f5a744ce73481d0', 'dataSource': 'NIFC', 'loc': {'long': -116.90586993496, 'lat': 33.756957897091}, 'report': {'id': '2023-CARRU-053539', 'type': 'L', 'timestamp': 1681347905, 'dateTimeISO': '2023-04-12T18:05:05-07:00', 'name': 'Rosebrugh Ln  Hem', 'location': 'ROSEBRUGH LN  HEM', 'startTimestamp': 1681345780, 'startDateISO': '2023-04-12T17:29:40-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'valle vista', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
1,Feature,"{'type': 'Point', 'coordinates': [-122.4224136128, 40.8036751796]}","{'id': '643754d01f5a744ce73481cc', 'dataSource': 'NIFC', 'loc': {'long': -122.4224136128, 'lat': 40.8036751796}, 'report': {'id': '2023-CASHF-000287', 'type': 'L', 'timestamp': 1681346520, 'dateTimeISO': '2023-04-12T17:42:00-07:00', 'name': 'Backbone Broadcast Rx', 'location': 'Backbone Broadcast RX', 'startTimestamp': 1681345098, 'startDateISO': '2023-04-12T17:18:18-07:00', 'conf': 100, 'areaKM': 0, 'areaMI': 0, 'areaAC': 1, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lakehead', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
2,Feature,"{'type': 'Point', 'coordinates': [-122.91890258219, 40.768060734814]}","{'id': '64373fc61f5a744ce73481bd', 'dataSource': 'NIFC', 'loc': {'long': -122.91890258219, 'lat': 40.768060734814}, 'report': {'id': '2023-CASHF-000284', 'type': 'L', 'timestamp': 1681341847, 'dateTimeISO': '2023-04-12T16:24:07-07:00', 'name': 'Wcf East Weaver 30-3 Broadcast Rx', 'location': 'WCF East Weaver 30-3 Broadcast RX', 'startTimestamp': 1681341180, 'startDateISO': '2023-04-12T16:13:00-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'not reported', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'weaverville', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
3,Feature,"{'type': 'Point', 'coordinates': [-118.14552222557, 34.703924933142]}","{'id': '6436f96b1f5a744ce73480f2', 'dataSource': 'NIFC', 'loc': {'long': -118.14552222557, 'lat': 34.703924933142}, 'report': {'id': '2023-CALAC-122437', 'type': 'L', 'timestamp': 1681322688, 'dateTimeISO': '2023-04-12T11:04:48-07:00', 'name': 'Lac-122437', 'location': 'LAC-122437', 'startTimestamp': 1681322224, 'startDateISO': '2023-04-12T10:57:04-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lancaster', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
4,Feature,"{'type': 'Point', 'coordinates': [-118.09048216229, 34.062684865826]}","{'id': '6436e4511f5a744ce73480b2', 'dataSource': 'NIFC', 'loc': {'long': -118.09048216229, 'lat': 34.062684865826}, 'report': {'id': '2023-CALAC-122357', 'type': 'L', 'timestamp': 1681318849, 'dateTimeISO': '2023-04-12T10:00:49-07:00', 'name': 'Lac-122357', 'location': 'LAC-122357', 'startTimestamp': 1681318574, 'startDateISO': '2023-04-12T09:56:14-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'rosemead', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
5,Feature,"{'type': 'Point', 'coordinates': [-118.33013219125, 33.923714836931]}","{'id': '6436d6601f5a744ce734809c', 'dataSource': 'NIFC', 'loc': {'long': -118.33013219125, 'lat': 33.923714836931}, 'report': {'id': '2023-CALAC-122277', 'type': 'L', 'timestamp': 1681314289, 'dateTimeISO': '2023-04-12T08:44:49-07:00', 'name': 'Lac-122277', 'location': 'LAC-122277', 'startTimestamp': 1681313822, 'startDateISO': '2023-04-12T08:37:02-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'hawthorne', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
6,Feature,"{'type': 'Point', 'coordinates': [-116.90542394817, 33.924178916595]}","{'id': '6436d6601f5a744ce7348099', 'dataSource': 'NIFC', 'loc': {'long': -116.90542394817, 'lat': 33.924178916595}, 'report': {'id': '2023-CARRU-053261', 'type': 'L', 'timestamp': 1681313824, 'dateTimeISO': '2023-04-12T08:37:04-07:00', 'name': 'I 10  E/ 22Nd St Ofrp', 'location': 'I 10  E/ 22ND ST OFRP', 'startTimestamp': 1681312118, 'startDateISO': '2023-04-12T08:08:38-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'banning', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
7,Feature,"{'type': 'Point', 'coordinates': [-118.48482225837, 34.422984882729]}","{'id': '6436b3831f5a744ce715d041', 'dataSource': 'NIFC', 'loc': {'long': -118.48482225837, 'lat': 34.422984882729}, 'report': {'id': '2023-CALAC-122186', 'type': 'L', 'timestamp': 1681306368, 'dateTimeISO': '2023-04-12T06:32:48-07:00', 'name': 'Ana', 'location': 'ANA', 'startTimestamp': 1681305840, 'startDateISO': '2023-04-12T06:24:00-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'santa clarita', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
8,Feature,"{'type': 'Point', 'coordinates': [-116.90535193427, 33.749398896237]}","{'id': '6436a5071f5a744ce715d030', 'dataSource': 'NIFC', 'loc': {'long': -116.90535193427, 'lat': 33.749398896237}, 'report': {'id': '2023-CARRU-053215', 'type': 'L', 'timestamp': 1681302302, 'dateTimeISO': '2023-04-12T05:25:02-07:00', 'name': 'New Chicago Av / Hacienda St', 'location': 'NEW CHICAGO AV / HACIENDA ST', 'startTimestamp': 1681301493, 'startDateISO': '2023-04-12T05:11:33-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'valle vista', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
9,Feature,"{'type': 'Point', 'coordinates': [-118.29203218235, 33.892484835611]}","{'id': '643657cc1f5a744ce715d029', 'dataSource': 'NIFC', 'loc': {'long': -118.29203218235, 'lat': 33.892484835611}, 'report': {'id': '2023-CALAC-121991', 'type': 'L', 'timestamp': 1681282489, 'dateTimeISO': '2023-04-11T23:54:49-07:00', 'name': 'Lac-121991', 'location': 'LAC-121991', 'startTimestamp': 1681282239, 'startDateISO': '2023-04-11T23:50:39-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'gardena', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
