X,Y,OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID
-118.106402151,33.891094846,292628,23872143,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,2023/01/01 04:43:57+00,,,,,,,,,OSCC,,,,,,LAC-447492,,WF,FI,33.89109,-118.10639,,,{CBF6F6BE-5A91-4963-B989-B53898DD0EEC},,0,,,,,,447492,lacocad,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-447492,No Decision,,,,2023/01/01 04:46:49+00,2023/01/01 04:46:49+00,0,,,{46374510-C3AE-4B21-BF99-F6E8DCE39EA7},{BB4A69D2-8CE1-4E2F-B8B4-C589EE47536B}
-120.437305804,36.821662001,292630,23872145,,DEFAULT,2023/01/01 06:20:56+00,2023/01/01 06:21:02+00,cfcad,0.01,0.01,CAFKCC,,,,,,,,,,Undetermined,,,,,2023/01/01 05:31:41+00,,,,,,,,,OSCC,,,,,,W BULLARD AVE  FIREBAUGH,,RX,FI,36.821657,-120.437293,,,{8B3AE160-4F81-4A3D-850C-F931BADDD17C},,0,0,0,0,0,,022959,cfcad,,,,Fresno,CASICC,06019,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAFKU,US-CA,,,,,,2023-CAFKU-022959,No Decision,,,,2023/01/01 06:20:31+00,2023/01/01 06:20:41+00,0,,,{B7688735-6981-41E5-B06C-235A96FEABE3},{D4CA8250-A331-4193-84E7-D022727792E1}
-117.890182133,34.1210648840001,292661,23872184,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,2023/01/01 08:55:36+00,,,,,,,,,OSCC,,,,,,LAC-000069,,WF,FI,34.12106,-117.89017,,,{16443D72-F126-474A-B3B2-D21BFA7269CD},,0,,,,,,000069,lacocad,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-000069,No Decision,,,,2023/01/01 08:58:48+00,2023/01/01 08:58:48+00,0,,,{8DC41F9E-8F7F-435B-BFA1-BBBD7B4DE521},{92C597A7-B3E6-4F83-8309-FB25C6DA6A5B}
-116.227786813,33.7193509300001,292664,23872185,,DEFAULT,,,cfcad,,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,2023/01/01 08:22:21+00,,,,,,,,,OSCC,,,,,,BLISS AV  INDO,,WF,FI,33.719346,-116.227775,,,{D54F2E4C-AAE4-4EED-AEC9-63396F1FB6A4},,0,0,0,0,0,,000014,cfcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-000014,No Decision,,,,2023/01/01 08:59:27+00,2023/01/01 08:59:27+00,0,,,{5977CB1E-0C9B-4523-A3F1-DF1A9B7A04E5},{011F9ED0-F42E-4D21-88DD-5BD442B20A58}
-116.509915882,33.962374943,292672,23872187,,DEFAULT,,,cfcad,,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,2023/01/01 08:48:45+00,,,,,,,,,OSCC,,,,,,1ST ST  DHSP,,WF,FI,33.96237,-116.509904,,,{984EF428-A7DC-434C-A6DD-12345A31FEC1},,0,0,0,0,0,,000035,cfcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-000035,No Decision,,,,2023/01/01 10:11:33+00,2023/01/01 10:11:33+00,0,,,{D57703B0-60A2-4F8C-91F9-204E5282DB63},{FA343640-3900-49CE-B93F-F36D05650EA8}
-118.365742198,33.938754837,292673,23872189,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,2023/01/01 10:47:00+00,,,,,,,,,OSCC,,,,,,LAC-000205,,WF,FI,33.93875,-118.36573,,,{951D2876-E72D-4901-AB14-70C96941B6DD},,0,,,,,,000205,lacocad,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-000205,No Decision,,,,2023/01/01 10:50:49+00,2023/01/01 10:50:49+00,0,,,{E44007B3-5D39-44D0-B649-687F84167BFC},{C29DD2B1-BEB3-44EC-B2F3-61E1A5D4F6F0}
-117.434954047,34.0111948970001,292692,23872207,,DEFAULT,2023/01/01 14:45:59+00,,cfcad,0.01,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,2023/01/01 14:37:32+00,,,,,,,,,OSCC,,,,,,MISSION,,WF,FI,34.01119,-117.434942,,,{1D9305D7-838E-46E5-9ED5-8F82713E2FA8},,0,0,0,0,0,,000193,cfcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-000193,No Decision,,,,2023/01/01 14:46:15+00,2023/01/01 14:46:50+00,0,,,{AC22B5A6-DE99-423A-BC8A-6EF028241329},{CF799281-C1D5-4964-A117-67E7B52A2738}
-116.803511886,33.3478248550001,292699,27275591,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 16:06:00+00,,,,,,,,,OSCC,,,,,,PALOMAR FUELBREAK BROADCAST RX,,RX,FI,33.35573,-116.8709,,,{83E46B1F-F96C-4A88-9FB8-C578273C0862},,0,0,0,0,0,,000024,wildcad,,,,San Diego,CASDIC,06073,USFS,CACNF,,USFS,Federal,,,,,,,SC11,USFS,CACNF,US-CA,,,,,,2023-CACNF-000024,No Decision,,,,2023/01/01 16:07:39+00,2023/04/11 02:44:13+00,0,,,{83E46B1F-F96C-4A88-9FB8-C578273C0862},{3C512CC9-1B17-46CF-921B-4166E7678B23}
-116.8830119,33.3620348520001,292703,23872234,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 16:04:44+00,,,,,,,,,OSCC,,,,,,PALOMAR MOUNTAIN PILES RX,,WF,FI,33.36546,-116.9258,,,{0202A3C8-FBD7-45EC-9294-60F5692BA05C},,0,0,0,0,0,,000023,wildcad,,,,San Diego,CASDIC,06073,USFS,,,Private,Private,,,,,,,SC11,USFS,CACNF,US-CA,,,,,,2023-CACNF-000023,No Decision,,,,2023/01/01 16:05:32+00,2023/01/28 17:50:10+00,0,,,{79C3BC5B-362B-4013-BE1E-068F30570E79},{0F09CD20-FC3F-49FE-BC6A-158795D3C584}
-116.510611785,32.6775047890001,292705,23872233,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:59:46+00,,,,,,,,,OSCC,,,,,,LAKE MORENA COMMUNITY DEFENSE RX,,RX,FI,32.6775,-116.5106,,,{63F3D172-32D6-4372-AF54-F8385B7510D7},,0,0,0,0,0,,000020,wildcad,,,,San Diego,CASDIC,06073,USFS,CACNF,,USFS,Federal,,,,,,,SC11,USFS,CACNF,US-CA,,,,,,2023-CACNF-000020,No Decision,,,,2023/01/01 16:00:29+00,2023/01/01 16:00:31+00,0,,,{DCEA63BD-4E89-4E83-8227-7BE702A9170B},{853D299F-AF80-43CF-AAC5-8B758DA93280}
-116.452911786,32.833694811,292706,27274800,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:55:33+00,,,,,,,,,OSCC,,,,,,LAGUNA PLACE BROADCAST RX,,RX,FI,32.85621,-116.4472,,,{23FD2F78-9886-4FD9-92E2-D05021A8D83B},,0,0,0,0,0,,000019,wildcad,,,,San Diego,CASDIC,06073,USFS,CACNF,,USFS,Federal,,,,,,,SC11,USFS,CACNF,US-CA,,,,,,2023-CACNF-000019,No Decision,,,,2023/01/01 15:56:31+00,2023/04/11 03:07:15+00,0,,,{23FD2F78-9886-4FD9-92E2-D05021A8D83B},{FD9BF056-7811-4D6F-8B40-BB9848F837C2}
-116.924456262,32.7463936770001,292707,23872225,,DEFAULT,,,IROC,,,CASDIC,,,,,,,,,,,,,,,2023/01/01 15:46:00+00,,,,,,,,,OSCC,,,,,,2023 CNF RX SUPPLY,,RX,FI,,,,,{FEAC36F4-B333-4F17-BF3B-573E86239D7B},,0,,,,,,000004,IROC,,,,San Diego,CASDIC,06073,,,,Private,Private,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000004,No Decision,,,,2023/01/01 15:47:47+00,2023/01/01 15:47:47+00,0,,,{8977A881-6E2D-4359-ABCF-9D6BB9767B30},{B3F39F0B-B3C2-45AF-BFBE-39AE38FCAF14}
-94.7527169209999,31.3555655430001,292710,23872227,,DEFAULT,,,wildcad,1,1,TXTIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:46:23+00,,,,,,,,,SACC,,,,,,2023 NFGT Prescribed Fire Support RX,,RX,FI,31.35556,-94.75271,,,{5E1B1EC5-5CFA-49D8-B164-DBC18CFC7C48},,0,1,0,0,0,,000002,wildcad,,,,Angelina,TXTIC,48005,USFS,TXTXF,,USFS,Federal,,,,,,,SA12,USFS,TXTXF,US-TX,,,,,,2023-TXTXF-000002,No Decision,,,,2023/01/01 15:48:52+00,2023/03/14 19:30:27+00,0,,,{7D73BA91-A271-4A1F-8D77-C6E1F447F692},{E1753828-7AA1-466B-9136-351A4CB38AC2}
