objectid,fire_cause
292628,Undetermined
292630,Undetermined
292661,Undetermined
292664,Undetermined
292672,Undetermined
292673,Undetermined
292692,Undetermined
292699,Undetermined
292703,Undetermined
292705,Undetermined
292706,Undetermined
292707,000
292710,Undetermined
292712,Undetermined
292713,Undetermined
292714,Undetermined
292715,Undetermined
292717,Undetermined
292718,Undetermined
292720,Undetermined
292723,Undetermined
292725,Undetermined
292726,Undetermined
292727,Undetermined
292728,Undetermined
292762,Undetermined
292774,Human
292784,000
292807,Undetermined
292810,Undetermined
292813,Undetermined
292815,Undetermined
292818,Undetermined
292822,Undetermined
292825,Undetermined
292836,Undetermined
292840,Undetermined
292842,Undetermined
292845,000
292848,000
292867,Undetermined
292868,Undetermined
292870,Undetermined
292872,Undetermined
292873,Natural
292886,Undetermined
292887,Undetermined
292897,Human
292901,Human
292904,Human
292907,Undetermined
292913,Human
292914,Human
292915,Human
292917,Human
292918,000
292919,Human
292921,000
292922,Human
292923,000
292931,000
292943,000
292948,Undetermined
292950,Human
292969,000
292975,000
293011,000
293024,Human
293033,Human
293035,Undetermined
293063,Undetermined
293068,Human
293078,Human
293079,Undetermined
293084,Undetermined
293085,Human
293093,000
293095,Undetermined
293099,Undetermined
293109,Undetermined
293115,Undetermined
293123,Human
293124,Human
293125,Human
293127,Human
293129,Undetermined
293130,Human
293132,Human
293133,Undetermined
293136,000
293137,Undetermined
293143,000
293144,000
293153,Human
293156,Human
293159,000
293171,000
293175,000
293177,000
293180,000
293190,000
293193,000
293194,000
293195,Human
293196,000
293197,000
293198,000
293199,000
293200,000
293201,Undetermined
293208,Undetermined
293211,Undetermined
293213,Undetermined
293214,Human
293220,000
293222,000
293226,Undetermined
293228,Undetermined
293231,000
293235,Human
293240,Undetermined
293241,Undetermined
293243,000
293249,Undetermined
293252,Undetermined
293254,Undetermined
293255,Undetermined
293256,Undetermined
293264,Undetermined
293267,000
293273,Undetermined
293275,Undetermined
293277,Undetermined
293280,Undetermined
293283,Undetermined
293284,Undetermined
293285,Undetermined
293286,Undetermined
293293,Undetermined
293295,Undetermined
293296,Undetermined
293298,000
293299,Undetermined
293303,Undetermined
293304,Undetermined
293305,Undetermined
293306,Undetermined
293307,000
293308,Undetermined
293312,Undetermined
293313,Undetermined
293314,Undetermined
293316,Undetermined
293318,Undetermined
293319,Undetermined
293321,Undetermined
293323,Undetermined
293326,Undetermined
293327,Undetermined
293330,Undetermined
293331,Undetermined
293333,Human
293335,Undetermined
293336,Undetermined
293339,Human
293341,Undetermined
293344,Undetermined
293348,Human
293349,Human
293351,Human
293352,Undetermined
293353,000
293354,Human
303434,000
293356,Undetermined
293357,Undetermined
293369,Undetermined
293372,Undetermined
293377,Undetermined
293378,Undetermined
293380,Undetermined
293382,Undetermined
293385,Undetermined
293388,Undetermined
293393,Undetermined
293394,Human
293397,Undetermined
293399,Undetermined
293405,Undetermined
293408,Undetermined
293412,Undetermined
293418,Undetermined
293419,Human
293420,Human
293430,Undetermined
293431,Undetermined
293436,Human
293437,Human
293442,Undetermined
293444,Human
293445,Human
293446,Human
293451,000
293453,000
293454,Human
293455,000
293463,Human
293465,Undetermined
293466,Human
293467,Human
293468,Human
293469,Undetermined
293470,Human
293471,Human
293472,Human
293473,Human
293474,Human
293475,Human
293476,Human
293477,Human
293478,Undetermined
293479,Human
293480,Undetermined
293482,Undetermined
293483,Undetermined
293484,Undetermined
293485,Human
293487,Human
293488,000
293490,Human
293491,Human
293492,Undetermined
293494,Undetermined
293496,Undetermined
293499,Human
293501,Undetermined
293503,Undetermined
293505,Undetermined
293508,Undetermined
293513,Undetermined
293514,Human
293516,Undetermined
293517,Undetermined
293521,Undetermined
293522,Human
293527,Undetermined
293528,Human
293532,Undetermined
293533,Undetermined
293536,Human
293538,Undetermined
293543,Human
293550,Undetermined
293551,Human
293552,Undetermined
293554,Undetermined
293558,Undetermined
293563,Undetermined
293565,Undetermined
293566,Human
293567,Human
293568,Human
293569,Undetermined
293570,Human
293571,Undetermined
293578,000
293580,000
293581,Undetermined
293586,000
293587,000
293588,000
293589,Undetermined
293593,Human
293595,000
293597,Human
293598,Human
293599,Undetermined
293600,Undetermined
293601,Undetermined
293602,Undetermined
293603,Human
293604,Human
293605,Human
293606,Undetermined
293607,Human
293613,Undetermined
293614,Undetermined
293617,Human
