objectid,date
292628,2023-01-01 04:43:57
292630,2023-01-01 05:31:41
292661,2023-01-01 08:55:36
292664,2023-01-01 08:22:21
292672,2023-01-01 08:48:45
292673,2023-01-01 10:47:00
292692,2023-01-01 14:37:32
292699,2023-01-01 16:06:00
292703,2023-01-01 16:04:44
292705,2023-01-01 15:59:46
292706,2023-01-01 15:55:33
292707,2023-01-01 15:46:00
292710,2023-01-01 15:46:23
292712,2023-01-01 15:36:50
292713,2023-01-01 15:35:31
292714,2023-01-01 15:49:00
292715,2023-01-01 16:10:20
292717,2023-01-01 15:50:04
292718,2023-01-01 15:44:39
292720,2023-01-01 15:51:24
292723,2023-01-01 15:46:53
292725,2023-01-01 16:01:25
292726,2023-01-01 16:12:12
292727,2023-01-01 16:13:30
292728,2023-01-01 16:02:44
292762,2023-01-01 20:54:59
292774,2023-01-01 19:33:00
292784,2023-01-01 21:39:32
292807,2023-01-01 23:37:47
292810,2023-01-02 01:28:11
292813,2023-01-02 03:57:54
292815,2023-01-02 05:14:34
292818,2023-01-02 09:52:43
292822,2023-01-02 15:06:56
292825,2023-01-02 15:58:33
292836,2023-01-02 18:02:07
292840,2023-01-02 17:27:15
292842,2023-01-02 18:47:37
292845,2023-01-02 19:33:00
292848,2023-01-01 15:00:00
292867,2023-01-02 23:55:29
292868,2023-01-03 00:29:24
292870,2023-01-02 23:58:54
292872,2023-01-03 00:00:36
292873,2023-01-02 23:47:00
292886,2023-01-03 07:34:03
292887,2023-01-03 09:41:26
292897,2023-01-01 20:00:00
292901,2023-01-01 21:30:00
292904,2023-01-01 21:14:59
292907,2023-01-01 15:52:09
292913,2023-01-01 21:30:00
292914,2023-01-01 18:30:00
292915,2023-01-03 15:14:02
292917,2023-01-03 15:24:50
292918,2023-01-03 15:29:00
292919,2023-01-03 16:01:39
292921,2023-01-02 17:00:00
292922,2023-01-03 15:17:05
292923,2023-01-02 17:00:00
292931,2023-01-02 17:00:00
292943,2023-01-03 14:19:59
292948,2023-01-03 16:26:55
292950,2023-01-01 18:59:59
292969,2023-01-03 17:06:59
292975,2023-01-01 06:59:59
293011,2023-01-01 15:30:00
293024,2023-01-03 19:57:54
293033,2023-01-03 20:06:08
293035,2023-01-03 20:57:21
293063,2023-01-03 08:09:00
293068,2023-01-03 22:47:12
293078,2023-01-03 22:51:24
293079,2023-01-03 22:18:35
293084,2023-01-03 22:53:00
293085,2023-01-03 22:56:16
293093,2023-01-03 22:31:00
293095,2023-01-03 22:59:46
293099,2023-01-04 00:10:38
293109,2023-01-04 01:07:12
293115,2023-01-04 05:34:17
293123,2023-01-03 17:45:00
293124,2023-01-03 20:29:59
293125,2023-01-03 21:59:59
293127,2023-01-03 21:30:00
293129,2023-01-04 14:48:42
293130,2023-01-03 18:20:59
293132,2023-01-04 16:10:12
293133,2023-01-04 15:24:50
293136,2023-01-04 16:55:00
293137,2023-01-04 16:39:26
293143,2023-01-04 16:52:00
293144,2023-01-04 15:59:59
293153,2023-01-04 16:25:29
293156,2023-01-04 16:19:42
293159,2023-01-04 16:57:59
293171,2023-01-04 17:19:00
293175,2023-01-04 15:59:59
293177,2023-01-04 17:57:00
293180,2023-01-04 17:51:00
293190,2023-01-04 18:29:00
293193,2023-01-04 18:30:59
293194,2023-01-04 18:43:59
293195,2023-01-04 18:29:06
293196,2023-01-04 18:30:00
293197,2023-01-04 18:57:00
293198,2023-01-04 18:32:00
293199,2023-01-04 18:33:59
293200,2023-01-04 18:49:00
293201,2023-01-04 18:05:53
293208,2023-01-04 19:31:44
293211,2023-01-04 19:59:55
293213,2023-01-04 19:52:55
293214,2023-01-04 14:16:23
293220,2023-01-04 20:38:00
293222,2023-01-04 20:42:59
293226,2023-01-03 22:10:54
293228,2023-01-04 20:17:02
293231,2023-01-04 20:00:00
293235,2023-01-04 20:18:00
293240,2023-01-05 00:23:38
293241,2023-01-05 00:19:20
293243,2023-01-05 00:53:00
293249,2023-01-05 00:03:12
293252,2023-01-05 00:51:31
293254,2023-01-05 02:46:17
293255,2023-01-05 04:16:50
293256,2023-01-05 05:30:25
293264,2023-01-05 10:59:33
293267,2023-01-05 12:36:00
293273,2023-01-05 05:00:00
293275,2023-01-05 05:00:00
293277,2023-01-05 15:06:36
293280,2023-01-05 14:19:08
293283,2023-01-05 15:06:36
293284,2023-01-05 15:12:03
293285,2023-01-05 15:27:29
293286,2023-01-04 15:59:59
293293,2023-01-05 15:06:03
293295,2023-01-05 15:48:56
293296,2023-01-05 15:23:40
293298,2023-01-05 16:15:00
293299,2023-01-05 16:20:04
293303,2023-01-05 16:46:32
293304,2023-01-05 17:10:59
293305,2023-01-05 17:05:39
293306,2023-01-04 20:07:29
293307,2023-01-05 16:50:59
293308,2023-01-05 16:43:54
293312,2023-01-05 17:08:17
293313,2023-01-05 16:41:21
293314,2023-01-05 16:17:17
293316,2023-01-05 16:48:45
293318,2023-01-05 16:56:43
293319,2023-01-05 16:14:22
293321,2023-01-05 16:51:02
293323,2023-01-05 16:54:04
293326,2023-01-05 17:38:57
293327,2023-01-05 17:27:14
293330,2023-01-05 17:24:56
293331,2023-01-05 17:33:32
293333,2023-01-04 19:02:59
293335,2023-01-05 16:37:46
293336,2023-01-05 17:30:58
293339,2023-01-04 20:29:59
293341,2023-01-05 17:21:17
293344,2023-01-05 17:36:55
293348,2023-01-05 18:30:59
293349,2023-01-05 17:29:59
293351,2023-01-04 23:00:00
293352,2023-01-05 17:50:55
293353,2023-01-05 18:01:00
293354,2023-01-04 19:41:00
293356,2023-01-05 18:52:24
293357,2023-01-05 18:53:55
293369,2023-01-05 18:51:04
293372,2023-01-05 19:00:26
293377,2023-01-05 20:43:10
293378,2023-01-05 20:41:45
293380,2023-01-05 19:42:47
293382,2023-01-03 18:00:00
293385,2023-01-05 21:05:29
293388,2023-01-05 14:30:34
293393,2023-01-05 14:34:56
293394,2023-01-05 17:29:59
293397,2023-01-05 22:31:22
293399,2023-01-05 22:48:23
293405,2023-01-06 01:59:08
293408,2023-01-06 02:56:29
293412,2023-01-06 04:54:04
293418,2023-01-06 12:51:09
293419,2023-01-05 21:30:00
293420,2023-01-05 22:30:00
293430,2023-01-04 18:43:42
293431,2023-01-06 15:17:05
293436,2023-01-06 16:24:00
293437,2023-01-06 16:04:44
293442,2023-01-05 19:49:33
293444,2023-01-06 19:08:00
293445,2023-01-01 22:30:00
293446,2023-01-01 21:00:00
293451,2023-01-06 08:00:00
293453,2023-01-06 19:34:00
293454,2023-01-06 19:21:59
293455,2023-01-06 19:47:59
293463,2023-01-05 18:59:59
293465,2023-01-06 21:16:00
293466,2023-01-06 20:05:00
293467,2023-01-04 21:00:00
293468,2023-01-06 20:00:00
293469,2023-01-06 20:58:59
293470,2023-01-06 20:50:00
293471,2023-01-06 20:40:00
293472,2023-01-06 22:11:41
293473,2023-01-06 21:00:00
293474,2023-01-06 20:00:00
293475,2023-01-06 20:00:00
293476,2023-01-06 22:23:18
293477,2023-01-06 22:20:11
293478,2023-01-06 22:17:46
293479,2023-01-06 22:16:48
293480,2023-01-06 22:24:56
293482,2023-01-06 14:42:40
293483,2023-01-06 23:31:41
293484,2023-01-06 23:48:13
293485,2023-01-06 20:00:00
293487,2023-01-06 21:30:00
293488,2023-01-06 22:30:00
293490,2023-01-06 23:00:00
293491,2023-01-06 23:00:00
293492,2023-01-07 02:43:14
293494,2023-01-07 02:07:59
293496,2023-01-07 03:06:33
293499,2023-01-07 01:44:00
293501,2023-01-07 04:20:02
293503,2023-01-07 06:51:15
293505,2023-01-07 10:50:14
293508,2023-01-07 16:22:31
293513,2023-01-07 18:20:22
293514,2023-01-07 16:44:59
293516,2023-01-07 19:16:10
293517,2023-01-07 19:30:51
293521,2023-01-07 20:41:22
293522,2023-01-07 18:04:59
293527,2023-01-07 19:39:00
293528,2023-01-07 18:30:00
293532,2023-01-07 21:17:45
293533,2023-01-07 21:09:00
293536,2023-01-07 23:40:00
293538,2023-01-07 23:30:26
293543,2023-01-07 22:08:00
293550,2023-01-08 01:58:26
293551,2023-01-07 23:58:59
293552,2023-01-08 01:43:11
293554,2023-01-08 01:02:43
293558,2023-01-08 04:22:26
293563,2023-01-08 12:28:41
293565,2023-01-08 14:46:26
293566,2023-01-07 18:00:00
293567,2023-01-06 21:59:59
293568,2023-01-07 22:10:00
293569,2023-01-08 15:57:41
293570,2023-01-07 20:29:59
293571,2023-01-08 16:16:32
293578,2023-01-01 15:32:00
293580,2023-01-01 15:32:00
293581,2023-01-08 17:33:18
293586,2023-01-08 19:02:59
293587,2023-01-01 15:32:00
293588,2023-01-01 15:32:00
293589,2023-01-08 19:02:24
293593,2023-01-08 17:18:00
293595,2023-01-08 19:12:59
293597,2023-01-08 18:00:00
293598,2023-01-08 19:44:45
293599,2023-01-08 20:43:28
293600,2023-01-08 21:03:04
293601,2023-01-08 20:54:53
293602,2023-01-08 21:48:56
293603,2023-01-08 20:53:00
293604,2023-01-08 20:14:21
293605,2023-01-08 16:47:59
293606,2023-01-08 21:35:44
293607,2023-01-08 20:55:00
293613,2023-01-08 23:38:54
293614,2023-01-08 22:15:47
293617,2023-01-08 23:13:59
293618,2023-01-09 01:57:54
293619,2023-01-09 01:48:09
293621,2023-01-09 01:09:38
293624,2023-01-09 04:00:14
293629,2023-01-09 04:52:06
293633,2023-01-09 08:09:54
293634,2023-01-09 09:04:30
293635,2023-01-09 10:17:15
293637,2023-01-09 10:52:46
293643,2023-01-08 12:48:00
293645,2023-01-08 21:00:00
293647,2023-01-08 19:51:29
293649,2023-01-09 14:56:39
293651,2023-01-08 18:40:00
293652,2023-01-08 21:00:00
293653,2023-01-08 18:17:59
293654,2023-01-08 19:20:00
293657,2023-01-06 22:43:17
293660,2023-01-08 17:10:00
293669,2023-01-06 17:34:17
293670,2023-01-08 21:59:59
293671,2023-01-08 18:59:59
293673,2023-01-08 21:59:59
293677,2023-01-09 16:48:42
293678,2023-01-06 15:34:42
293683,2023-01-08 21:59:59
293684,2023-01-09 16:47:00
293685,2023-01-09 15:35:32
293691,2023-01-08 21:30:00
293692,2023-01-06 22:50:00
293693,2023-01-08 23:15:00
293694,2023-01-08 21:59:59
293702,2023-01-09 18:04:37
293703,2023-01-09 17:00:00
293707,2023-01-08 19:50:00
293712,2023-01-09 17:21:00
293716,2023-01-09 17:40:52
293722,2023-01-09 18:56:45
293725,2023-01-09 17:00:00
293726,2023-01-06 18:49:00
293736,2023-01-06 14:06:24
293744,2023-01-06 02:55:02
293747,2023-01-03 21:55:08
293748,2023-01-09 18:43:00
293749,2023-01-09 21:11:00
293750,2023-01-03 21:55:06
293751,2023-01-09 20:29:59
293755,2023-01-09 21:10:38
293756,2023-01-09 19:30:00
293757,2023-01-09 21:09:00
293760,2023-01-03 21:55:01
293761,2023-01-09 21:07:00
293762,2023-01-08 19:12:59
293764,2023-01-09 20:55:00
293770,2023-01-09 22:05:00
293771,2023-01-09 22:34:00
293775,2023-01-09 20:29:59
293781,2023-01-09 18:49:59
293782,2023-01-09 20:00:00
293789,2023-01-09 22:51:14
293814,2023-01-10 01:08:50
293819,2023-01-10 02:25:19
293826,2023-01-10 03:48:03
293828,2023-01-10 06:40:05
293830,2023-01-10 06:48:25
293832,2023-01-09 18:59:59
293833,2023-01-09 21:14:59
293835,2023-01-10 13:26:52
293838,2023-01-10 14:53:51
293839,2023-01-09 20:45:00
293840,2023-01-09 18:59:59
293842,2023-01-09 21:10:00
293844,2023-01-09 19:30:00
293846,2023-01-10 14:18:11
293849,2023-01-09 20:00:00
293850,2023-01-08 20:00:00
293851,2023-01-10 15:13:01
293853,2023-01-09 19:30:00
293855,2023-01-09 21:30:00
293857,2023-01-10 02:29:59
293858,2023-01-10 15:49:57
293859,2023-01-09 20:13:00
293860,2023-01-09 22:05:59
293861,2023-01-09 22:24:00
293862,2023-01-10 17:06:11
293864,2023-01-10 17:40:33
293865,2023-01-09 15:35:12
293868,2023-01-04 16:16:09
293873,2023-01-10 18:30:59
293888,2023-01-10 18:58:41
293892,2023-01-10 18:30:00
293894,2023-01-10 18:30:00
293897,2023-01-10 20:08:00
293898,2023-01-10 19:04:44
293902,2023-01-10 18:49:16
293905,2023-01-10 19:47:00
293906,2023-01-10 20:11:00
293911,2023-01-10 20:28:00
293922,2023-01-10 17:26:32
293935,2023-01-10 20:39:00
293936,2023-01-09 17:31:00
293937,2023-01-07 22:07:00
293940,2023-01-10 20:03:51
293959,2023-01-10 22:48:21
293962,2023-01-10 23:08:15
293963,2023-01-11 01:00:21
293966,2023-01-11 01:15:57
293967,2023-01-11 01:05:11
293973,2023-01-11 06:07:00
293977,2023-01-11 07:33:47
293979,2023-01-10 20:50:00
293983,2023-01-10 21:30:00
293985,2023-01-11 16:19:58
293986,2023-01-11 16:13:47
293987,2023-01-11 17:45:45
293992,2023-01-11 01:30:00
293994,2023-01-11 19:14:00
293996,2023-01-11 18:32:00
293997,2023-01-11 17:26:00
293999,2023-01-11 19:31:59
294001,2023-01-11 15:52:56
294002,2023-01-11 21:08:00
294003,2023-01-10 19:30:00
294005,2023-01-11 19:44:59
294007,2023-01-11 20:15:00
294008,2023-01-10 16:59:14
294012,2023-01-11 21:56:14
294013,2023-01-11 22:22:56
294014,2023-01-11 21:19:17
294016,2023-01-11 23:22:00
294017,2023-01-11 22:31:00
294018,2023-01-11 22:49:00
294019,2023-01-11 23:22:00
294025,2023-01-11 23:45:30
294028,2023-01-12 03:39:19
294029,2023-01-12 07:32:06
294032,2023-01-11 19:12:00
294033,2023-01-11 23:00:00
294034,2023-01-12 01:30:00
294035,2023-01-11 22:05:00
294036,2023-01-09 21:59:59
294037,2023-01-11 20:19:59
294038,2023-01-09 20:00:00
294040,2023-01-11 21:00:00
294043,2023-01-12 17:00:12
294046,2023-01-12 17:57:33
294048,2023-01-12 14:42:59
294050,2023-01-12 18:48:09
294053,2023-01-12 20:10:35
294054,2023-01-12 17:45:00
294055,2023-01-12 19:12:29
294058,2023-01-11 22:50:59
294061,2023-01-11 19:30:00
294064,2023-01-12 21:13:26
294065,2023-01-12 18:31:20
294066,2023-01-12 21:37:38
294067,2023-01-12 21:05:48
294069,2023-01-12 20:28:00
294071,2023-01-12 17:00:00
294074,2023-01-13 00:59:18
294075,2023-01-13 01:10:23
294076,2023-01-13 00:44:04
294080,2023-01-13 01:19:45
294085,2023-01-13 06:06:54
294087,2023-01-13 05:46:38
294088,2023-01-13 07:24:53
294090,2023-01-13 08:14:45
294092,2023-01-12 19:44:05
294097,2023-01-13 13:08:17
294098,2023-01-13 13:49:19
294099,2023-01-13 13:48:53
294100,2023-01-13 14:18:31
294101,2023-01-13 14:13:05
294102,2023-01-12 22:30:00
294103,2023-01-12 21:00:00
294104,2023-01-13 16:02:42
294106,2023-01-13 16:57:21
294108,2023-01-13 16:34:00
294110,2023-01-13 18:35:25
294111,2023-01-13 18:26:00
294113,2023-01-13 18:45:25
294114,2023-01-13 18:25:34
294117,2023-01-13 18:59:59
294118,2023-01-11 23:34:39
294120,2023-01-12 11:16:59
294121,2023-01-13 21:14:50
294122,2023-01-13 17:12:00
294125,2023-01-13 19:55:31
294126,2023-01-13 21:41:49
294127,2023-01-13 13:50:53
294128,2023-01-13 21:03:55
294129,2023-01-13 20:39:15
294130,2023-01-13 14:28:56
294134,2023-01-13 14:42:09
294135,2023-01-13 14:47:55
294150,2023-01-14 01:12:00
294151,2023-01-14 02:59:17
294153,2023-01-14 03:31:10
294155,2023-01-14 04:02:21
294159,2023-01-14 07:10:03
