objectid,fire_name,fire_type,landowner,fuel_model
292628,LAC-447492,WF,Private,000
292630,W BULLARD AVE  FIREBAUGH,RX,Private,000
292661,LAC-000069,WF,Private,000
292664,BLISS AV  INDO,WF,Private,000
292672,1ST ST  DHSP,WF,Private,000
292673,LAC-000205,WF,Private,000
292692,MISSION,WF,Private,000
292699,PALOMAR FUELBREAK BROADCAST RX,RX,USFS,000
292703,PALOMAR MOUNTAIN PILES RX,WF,Private,000
292705,LAKE MORENA COMMUNITY DEFENSE RX,RX,USFS,000
292706,LAGUNA PLACE BROADCAST RX,RX,USFS,000
292707,2023 CNF RX SUPPLY,RX,Private,000
292710,2023 NFGT Prescribed Fire Support RX,RX,USFS,000
292712,PRD DISTRICT PILES,RX,Private,000
292713,DRD DISTRICT PILES,RX,Private,000
292714,PRD ADMIN/STATON PILES,RX,Private,000
292715,PRD NORTH DISTRICT FUELBREAK PILES RX,RX,USFS,000
292717,TRD ADMIN PILES,RX,USFS,000
292718,TRD DISTRICT PILES,RX,Private,000
292720,ALPINE COMMUNITY DEFENSE RX,RX,Private,000
292723,DRD ADMIN PILES,RX,Private,000
292725,RAMONA FUELBREAK PILES RX,WF,USFS,000
292726,NORTH MAIN DIVIDE GATE RX,RX,USFS,000
292727,GREATER EL CARISO RX,RX,USFS,000
292728,RAMONA FUELBREAK BROADCAST RX,RX,Private,000
292762,MAIN,WF,Private,000
292774,Lamar 0003,WF,Private,Short Grass (1 foot)
292784,MA05204,WF,Private,000
292807,MATTHEWS,WF,Private,000
292810,LAC-000943,WF,Private,000
292813,LAC-001096,WF,Private,000
292815,TYLER ST  COAC,WF,Private,000
292818,BYRON ST / MAGNOLIA AV,WF,Private,000
292822,LAC-001508,WF,Private,000
292825,LAC-001547,WF,Private,000
292836,HY 74  W/ HAMMACK AV,WF,Private,000
292840,DEPRAD ST  PERR,WF,Private,000
292842,NAVAJO RD  PERR,WF,Private,000
292845,(WRONG TYPE INCIDENT),WF,BIA,000
292848,2023 INF ABC MISC,WF,BIA,000
292867,BRIDGE,WF,Private,000
292868,ROCK SPRINGS AV / 1ST ST,WF,Private,000
292870,PALA RD / PECHANGA PY,WF,BIA,000
292872,ELLIS ST  HOMG,WF,Private,000
292873,Rusk 0004,WF,Private,Timber (Litter and Understory)
292886,MENIFEE RD  MENI,WF,Private,000
292887,VERBENA,WF,Private,000
292897,WHITE DOG,WF,Tribal,000
292901,OAK RIDGE 2,WF,Tribal,000
292904,OAK RIDGE,WF,Tribal,000
292907,2023 NFGT Fire Support,WF,USFS,000
292913,HOLIDAY,WF,Private,000
292914,BUG,WF,Private,000
292915,Stone Tree RX,RX,Private,000
292917,Potato Gulch RX,RX,State,000
292918,SANTA CATALINA MISC PILES,RX,USFS,000
292919,Englewood Units RX,RX,BLM,000
292921,SIERRA VISTA MISC PILES,RX,Private,000
292922,Stockade South RX,RX,USFS,000
292923,SAFFORD MISC PILES,RX,Private,000
