objectid,county,fire_state
292628,Los Angeles,US-CA
292630,Fresno,US-CA
292661,Los Angeles,US-CA
292664,Riverside,US-CA
292672,Riverside,US-CA
292673,Los Angeles,US-CA
292692,Riverside,US-CA
292699,San Diego,US-CA
292703,San Diego,US-CA
292705,San Diego,US-CA
292706,San Diego,US-CA
292707,San Diego,US-CA
292710,Angelina,US-TX
292712,San Diego,US-CA
292713,San Diego,US-CA
292714,San Diego,US-CA
292715,San Diego,US-CA
292717,Orange,US-CA
292718,Riverside,US-CA
292720,San Diego,US-CA
292723,San Diego,US-CA
292725,San Diego,US-CA
292726,Orange,US-CA
292727,Orange,US-CA
292728,San Diego,US-CA
292762,Tehama,US-CA
292774,Lamar,US-TX
292784,Essex,US-MA
292807,Riverside,US-CA
292810,Los Angeles,US-CA
292813,Los Angeles,US-CA
292815,Riverside,US-CA
292818,Riverside,US-CA
292822,Los Angeles,US-CA
292825,Los Angeles,US-CA
292836,Riverside,US-CA
292840,Riverside,US-CA
292842,Riverside,US-CA
292845,Inyo,US-CA
292848,Inyo,US-CA
292867,Fresno,US-CA
292868,Riverside,US-CA
292870,Riverside,US-CA
292872,Riverside,US-CA
292873,Rusk,US-TX
292886,Riverside,US-CA
292887,Riverside,US-CA
292897,Delaware,US-OK
292901,Adair,US-OK
292904,Adair,US-OK
292907,Wise,US-TX
292913,Seminole,US-OK
292914,Johnston,US-OK
292915,Meade,US-SD
292917,Custer,US-SD
292918,Pima,US-AZ
292919,Lawrence,US-SD
292921,Cochise,US-AZ
292922,Custer,US-SD
292923,Graham,US-AZ
292931,Graham,US-AZ
292943,Harrison,US-TX
292948,Brevard,US-FL
292950,Stephens,US-OK
292969,La Plata,US-CO
292975,Taos,US-NM
293011,Shasta,US-CA
293024,Fall River,US-SD
293033,Lawrence,US-SD
293035,Riverside,US-CA
293063,Riverside,US-CA
293068,Dawes,US-NE
293078,Dawes,US-NE
293079,Riverside,US-CA
293084,Culberson,US-TX
293085,Pennington,US-SD
293093,Lincoln,US-MT
293095,Walla Walla,US-WA
293099,Chelan,US-WA
293109,Riverside,US-CA
293115,Riverside,US-CA
293123,Osage,US-OK
293124,Seminole,US-OK
293125,Seminole,US-OK
293127,Seminole,US-OK
293129,Hendry,US-FL
293130,Osage,US-OK
293132,Weston,US-WY
293133,Glades,US-FL
293136,Douglas,US-WA
293137,Riverside,US-CA
293143,Douglas,US-WA
293144,Lake,US-OR
293153,Crook,US-WY
293156,Crook,US-WY
293159,Douglas,US-WA
293171,Douglas,US-WA
293175,El Dorado,US-CA
293177,Walla Walla,US-WA
293180,Douglas,US-WA
293190,Chelan,US-WA
293193,Chelan,US-WA
293194,Grant,US-WA
293195,Meade,US-SD
293196,Chelan,US-WA
293197,Douglas,US-WA
293198,Douglas,US-WA
293199,Douglas,US-WA
293200,Douglas,US-WA
293201,Montezuma,US-CO
293208,Sullivan,US-TN
293211,Sullivan,US-TN
293213,Phillips,US-MT
293214,Williamson,US-IL
293220,Douglas,US-WA
293222,Douglas,US-WA
293226,Delta,US-CO
293228,Carter,US-TN
293231,Glacier,US-MT
293235,Otero,US-NM
293240,Riverside,US-CA
293241,Riverside,US-CA
293243,Los Angeles,US-CA
293249,Riverside,US-CA
293252,Siskiyou,US-CA
293254,Riverside,US-CA
293255,Riverside,US-CA
293256,Riverside,US-CA
293264,Riverside,US-CA
293267,Perry,US-IN
293273,Carter,US-TN
293275,Sullivan,US-TN
293277,Carter,US-TN
293280,Crawford,US-AR
293283,Franklin,US-AR
293284,Baxter,US-AR
293285,Unicoi,US-TN
293286,Comanche,US-OK
293293,Chickasaw,US-MS
293295,Comanche,US-OK
293296,Carter,US-TN
293298,Yavapai,US-AZ
293299,Greene,US-TN
293303,Cocke,US-TN
293304,Cocke,US-TN
293305,Unicoi,US-TN
293306,Sullivan,US-TN
293307,Yavapai,US-AZ
293308,Cocke,US-TN
293312,Unicoi,US-TN
293313,Unicoi,US-TN
293314,Johnson,US-TN
293316,Cocke,US-TN
293318,Unicoi,US-TN
293319,Carter,US-TN
293321,Cocke,US-TN
293323,Cocke,US-TN
293326,Washington,US-TN
293327,Unicoi,US-TN
293330,Washington,US-TN
293331,Washington,US-TN
293333,Osage,US-OK
293335,Unicoi,US-TN
293336,Unicoi,US-TN
293339,Seminole,US-OK
293341,Cocke,US-TN
293344,Washington,US-TN
293348,Adair,US-OK
293349,Adair,US-OK
293351,Adair,US-OK
293352,Mineral,US-CO
293353,Brown,US-SD
293354,Okfuskee,US-OK
293356,Lassen,US-CA
293357,Lassen,US-CA
293369,Lassen,US-CA
293372,Lassen,US-CA
293377,Lassen,US-CA
293378,Lassen,US-CA
293380,Riverside,US-CA
293382,Comanche,US-OK
293385,Riverside,US-CA
