objectid,fire_size,acres
292628,0,0.01
292630,0.01,0.01
292661,0,0.01
292664,0,0.01
292672,0,0.01
292673,0,0.01
292692,0.01,0.01
292699,1,1
292703,1,1
292705,1,1
292706,1,1
292707,0,0
292710,1,1
292712,1,1
292713,1,1
292714,1,1
292715,1,1
292717,1,1
292718,1,1
292720,1,1
292723,1,1
292725,1,1
292726,1,1
292727,1,1
292728,1,1
292762,0.01,0.01
292774,50,50
292784,0.23,0.23
292807,0.01,0.01
292810,0,0.01
292813,0,0.01
292815,0.01,0.01
292818,0,0.01
292822,0,0.01
292825,0,0.01
292836,0.01,0.01
292840,0,0.01
292842,0,0.01
292845,0,0
292848,0,0
292867,0.01,0.01
292868,0.01,0.01
292870,0.01,0.01
292872,0,0.01
292873,0.1,0.1
292886,0,0.01
292887,0.04,0.01
292897,14,14
292901,0.93,0.93
292904,0.14,0.14
292907,0.1,1
292913,3,3
292914,0.5,0.5
292915,40.7,1
292917,426,1
292918,0,0
292919,1,1
292921,0,0
292922,14,1
292923,0,0
292931,0,0
292943,0,0
292948,1,1
292950,7.2,7.2
292969,0,0
292975,0,0
293011,0,0
293024,1,1
293033,148,1
293035,0,0.01
293063,0.1,0.1
293068,165,1
293078,164,1
293079,0,0.01
293084,1,1
293085,880,1
293093,0,0
293095,1,1
293099,1,1
293109,0.01,0.01
293115,0.01,0.01
293123,3,3
293124,0.7,0.7
293125,3.3,3.3
293127,0.8,0.8
293129,210,1
293130,6.2,6.2
293132,256,1
293133,1,1
293136,0,0
293137,0,0.01
293143,0,0
293144,0,0
293153,1150,1
293156,30,1
293159,0,0
293171,0,0
293175,0,0
293177,0,0
293180,0,0
293190,0,0
293193,0,0
293194,0,0
293195,1,1
293196,0,0
293197,0,0
293198,0,0
293199,0,0
293200,0,0
293201,1,1
293208,1,1
293211,510,1
293213,1,1
293214,10,1
293220,0,0
293222,0,0
293226,1,1
293228,1,1
293231,0,0
293235,9.6,1
293240,0,0.01
293241,0,0.01
293243,0,0
293249,0,0.01
293252,0,0.01
293254,0,0.01
293255,0,0.01
293256,0.01,0.01
293264,0,0.01
293267,0,0
293273,571,1
293275,170,1
293277,1,1
293280,167,1
293283,100,1
293284,580,1
293285,1,1
293286,755,1
293293,88,1
293295,1,1
293296,1,1
293298,0,0
293299,1,1
293303,1,1
293304,1,1
293305,1,1
293306,1,1
293307,0,0
293308,1,1
293312,1,1
293313,1,1
293314,1,1
293316,1,1
293318,1,1
293319,1,1
293321,1,1
293323,1,1
293326,1,1
293327,1,1
293330,1,1
293331,1,1
293333,170.5,170.5
293335,1080,1
293336,1,1
293339,19,19
293341,1,1
293344,1,1
293348,4,4
293349,0.55,0.55
293351,1,1
293352,1,1
293353,0,0
293354,121.8,121.8
293356,0,0.01
293357,0,0.01
293369,0,0.01
293372,0,0.01
293377,0,0.01
293378,0.01,0.01
293380,0,0.01
293382,100,1
293385,0.01,0.01
293388,105,1
293393,105,1
293394,34,34
293397,0,0.01
293399,0,0.01
293405,0,0.01
293408,0.01,0.01
293412,0,0.01
293418,159,1
